Source: Norfolk Southern Corporation DEFM14A (joint proxy statement/prospectus), filed 2025-10-01, accession 0001193125-25-226601
https://www.sec.gov/Archives/edgar/data/702165/000119312525226601/d64358ddefm14a.htm
Section: "Selected Precedent Transactions Analysis" (BofA Securities, Inc., also advisor to Norfolk Southern)
Retrieved: 2026-08-13 and independently re-verified via fresh live re-fetch on 2026-08-14.

Date Announced | Target | Acquiror | TEV/LTM Adj. EBITDA
09/21 | Kansas City Southern | Canadian Pacific Railway Limited | 21.2x
07/19 | Genesee & Wyoming Inc. | Brookfield Infrastructure Partners L.P. / GIC Pte. Ltd. | 13.4x
03/17 | Florida East Coast Railway Holdings Corp. | GMéxico Transportes S.A. de C.V. | 13.6x
10/16 | Glencore Rail (NSW) Pty Limited | Genesee & Wyoming Australia Pty Ltd | 11.4x
10/16 | Genesee & Wyoming Australia Pty Ltd. (49%) | Macquarie Infrastructure and Real Assets | 11.2x
03/16 | Pacific National Holdings Pty Ltd. | Rail Consortium (1) | 10.3x
02/15 | Freightliner Group Limited (95%) | Genesee & Wyoming Inc. | 9.5x
07/12 | RailAmerica, Inc. | Genesee & Wyoming Inc. | 10.3x
11/09 | Burlington Northern Santa Fe Corp. | Berkshire Hathaway Inc. | 8.8x
09/07 | Dakota, Minnesota & Eastern Railroad Corporation | Canadian Pacific Railway Limited | 15.2x
11/06 | RailAmerica, Inc. | Fortress Investment Group LLC | 11.7x
08/05 | Patrick Corporation | Toll Holding Ltd. | 15.0x
12/04 | Transportacion Ferroviaria Mexicana, S.A. de C.V. (51%) | Kansas City Southern | 6.1x
11/03 | BC Rail Ltd. | Canadian National Railway Company | 14.4x
01/01 | Wisconsin Central Ltd. | Canadian National Railway Company | 9.8x
02/98 | Illinois Central Corp. | Canadian National Railway Company | 11.4x
04/97 | Conrail Inc. | CSX Corp./Norfolk Southern Corporation | 12.1x
08/95 | Southern Pacific Rail Corp. | Union Pacific Corp. | 12.3x
03/95 | Chicago and North Western Holdings Corporation | Union Pacific Corp. | 8.4x
06/94 | Santa Fe Pacific Corporation | Burlington Northern Inc. | 7.2x

Footnotes:
(1) Rail Consortium consists of CPP Investments Limited (33%), Global Infrastructure Partners Inc. (27%), China Investment Corporation (16%), GIC Pte Ltd. (12%) and British Columbia Investment Management Corporation (12%).
